uav_count,seed,generated_packets,delivered_packets,dropped_packets,transmission_attempts,transmission_successes,packet_delivery_ratio,avg_delivery_latency_steps,avg_hops_per_delivered,avg_total_queue_length,avg_success_rate,peak_total_queue_length,router
8,8,20,4,16,37,12,0.2,6.75,1.5,4.97,0.32432432432432434,17,gpsr
8,9,20,5,15,88,21,0.25,27.4,1.6,5.85,0.23863636363636365,20,gpsr
8,10,20,7,13,42,26,0.35,23.0,2.142857142857143,5.49,0.6190476190476191,20,gpsr
8,11,20,5,15,52,27,0.25,15.2,1.6,5.3,0.5192307692307693,18,gpsr
8,12,20,2,18,14,7,0.1,0.5,1.0,5.28,0.5,18,gpsr
8,13,20,5,15,43,16,0.25,9.6,1.2,4.93,0.37209302325581395,17,gpsr
8,14,20,14,6,80,33,0.7,10.071428571428571,1.9285714285714286,3.21,0.4125,12,gpsr
8,15,20,7,13,54,23,0.35,10.571428571428571,1.2857142857142858,4.65,0.42592592592592593,16,gpsr
8,16,20,12,8,76,45,0.6,26.0,3.0833333333333335,5.52,0.5921052631578947,19,gpsr
8,17,20,18,2,94,51,0.9,14.666666666666666,2.6666666666666665,3.25,0.5425531914893617,17,gpsr
8,18,20,14,6,74,36,0.7,14.142857142857142,1.5714285714285714,3.86,0.4864864864864865,14,gpsr
8,19,20,5,15,24,15,0.25,6.6,1.4,4.76,0.625,16,gpsr
8,8,20,3,17,9,4,0.15,8.333333333333334,1.0,5.19,0.4444444444444444,18,aodv
8,9,20,4,16,6,6,0.2,24.5,1.5,5.62,1.0,20,aodv
8,10,20,5,15,13,8,0.25,20.6,1.4,5.39,0.6153846153846154,19,aodv
8,11,20,2,18,7,6,0.1,19.0,1.0,5.64,0.8571428571428571,19,aodv
8,12,20,2,18,3,2,0.1,0.5,1.0,5.23,0.6666666666666666,18,aodv
8,13,20,5,15,7,5,0.25,16.0,1.0,5.15,0.7142857142857143,19,aodv
8,14,20,14,6,78,33,0.7,13.357142857142858,2.142857142857143,3.64,0.4230769230769231,14,aodv
8,15,20,4,16,28,4,0.2,10.25,1.0,5.05,0.14285714285714285,18,aodv
8,16,20,3,17,29,11,0.15,22.333333333333332,1.3333333333333333,5.67,0.3793103448275862,20,aodv
8,17,20,10,10,90,44,0.5,10.6,2.0,4.2,0.4888888888888889,16,aodv
8,18,20,13,7,46,26,0.65,17.46153846153846,1.6153846153846154,4.35,0.5652173913043478,18,aodv
8,19,20,5,15,18,8,0.25,17.8,1.6,5.24,0.4444444444444444,18,aodv
8,8,20,4,16,37,12,0.2,6.75,1.5,4.97,0.32432432432432434,17,slar-geo
8,9,20,5,15,88,21,0.25,27.4,1.6,5.85,0.23863636363636365,20,slar-geo
8,10,20,7,13,42,26,0.35,23.0,2.142857142857143,5.49,0.6190476190476191,20,slar-geo
8,11,20,5,15,52,27,0.25,15.2,1.6,5.3,0.5192307692307693,18,slar-geo
8,12,20,2,18,14,7,0.1,0.5,1.0,5.28,0.5,18,slar-geo
8,13,20,5,15,43,16,0.25,9.6,1.2,4.93,0.37209302325581395,17,slar-geo
8,14,20,14,6,80,33,0.7,10.071428571428571,1.9285714285714286,3.21,0.4125,12,slar-geo
8,15,20,7,13,54,23,0.35,10.571428571428571,1.2857142857142858,4.65,0.42592592592592593,16,slar-geo
8,16,20,12,8,76,45,0.6,26.0,3.0833333333333335,5.52,0.5921052631578947,19,slar-geo
8,17,20,18,2,94,51,0.9,14.666666666666666,2.6666666666666665,3.25,0.5425531914893617,17,slar-geo
8,18,20,14,6,74,36,0.7,14.142857142857142,1.5714285714285714,3.86,0.4864864864864865,14,slar-geo
8,19,20,5,15,24,15,0.25,6.6,1.4,4.76,0.625,16,slar-geo
8,8,20,5,15,31,15,0.25,11.4,1.6,4.99,0.4838709677419355,17,slar-default
8,9,20,5,15,88,21,0.25,27.4,1.6,5.85,0.23863636363636365,20,slar-default
8,10,20,7,13,42,26,0.35,23.0,2.142857142857143,5.49,0.6190476190476191,20,slar-default
8,11,20,5,15,52,27,0.25,15.2,1.6,5.3,0.5192307692307693,18,slar-default
8,12,20,2,18,14,7,0.1,0.5,1.0,5.28,0.5,18,slar-default
8,13,20,5,15,43,16,0.25,9.6,1.2,4.93,0.37209302325581395,17,slar-default
8,14,20,14,6,83,33,0.7,10.214285714285714,2.0,3.22,0.39759036144578314,12,slar-default
8,15,20,7,13,54,23,0.35,10.571428571428571,1.2857142857142858,4.65,0.42592592592592593,16,slar-default
8,16,20,12,8,76,45,0.6,26.0,3.0833333333333335,5.52,0.5921052631578947,19,slar-default
8,17,20,18,2,93,51,0.9,14.722222222222221,2.6666666666666665,3.26,0.5483870967741935,17,slar-default
8,18,20,15,5,97,43,0.75,16.333333333333332,2.1333333333333333,4.01,0.44329896907216493,16,slar-default
8,19,20,5,15,24,15,0.25,6.6,1.4,4.76,0.625,16,slar-default
8,8,20,5,15,31,15,0.25,11.4,1.6,4.99,0.4838709677419355,17,slar-tuned
8,9,20,4,16,72,25,0.2,24.25,1.75,5.79,0.3472222222222222,20,slar-tuned
8,10,20,7,13,35,26,0.35,24.428571428571427,2.142857142857143,5.59,0.7428571428571429,20,slar-tuned
8,11,20,5,15,48,30,0.25,16.4,1.6,5.39,0.625,19,slar-tuned
8,12,20,2,18,14,7,0.1,0.5,1.0,5.28,0.5,18,slar-tuned
8,13,20,5,15,43,16,0.25,9.6,1.2,4.93,0.37209302325581395,17,slar-tuned
8,14,20,15,5,89,39,0.75,11.466666666666667,2.066666666666667,3.25,0.43820224719101125,12,slar-tuned
8,15,20,5,15,40,20,0.25,9.0,1.0,4.95,0.5,17,slar-tuned
8,16,20,11,9,75,47,0.55,25.09090909090909,3.090909090909091,5.5,0.6266666666666667,19,slar-tuned
8,17,20,16,4,105,50,0.8,15.6875,2.5625,3.76,0.47619047619047616,16,slar-tuned
8,18,20,17,3,70,46,0.85,15.235294117647058,2.588235294117647,3.48,0.6571428571428571,15,slar-tuned
8,19,20,5,15,24,15,0.25,6.6,1.4,4.76,0.625,16,slar-tuned
12,8,20,17,3,64,46,0.85,7.882352941176471,2.5294117647058822,2.24,0.71875,11,gpsr
12,9,20,5,15,80,31,0.25,3.2,1.0,4.77,0.3875,16,gpsr
12,10,20,10,10,62,30,0.5,12.7,2.1,4.26,0.4838709677419355,15,gpsr
12,11,20,7,13,140,39,0.35,15.285714285714286,2.0,5.09,0.2785714285714286,17,gpsr
12,12,20,4,16,69,26,0.2,21.25,1.75,5.68,0.37681159420289856,19,gpsr
12,13,20,9,11,82,43,0.45,12.666666666666666,2.0,4.58,0.524390243902439,17,gpsr
12,14,20,13,7,114,43,0.65,14.384615384615385,2.076923076923077,4.06,0.37719298245614036,16,gpsr
12,15,20,17,3,98,41,0.85,6.0588235294117645,2.176470588235294,1.94,0.41836734693877553,9,gpsr
12,16,20,8,12,97,34,0.4,20.625,2.625,5.26,0.35051546391752575,19,gpsr
12,17,20,7,13,54,30,0.35,2.7142857142857144,1.7142857142857142,4.14,0.5555555555555556,14,gpsr
12,18,20,8,12,76,23,0.4,10.375,1.875,4.39,0.3026315789473684,16,gpsr
12,19,20,8,12,61,34,0.4,12.125,1.875,4.64,0.5573770491803278,19,gpsr
12,8,20,15,5,68,40,0.75,7.666666666666667,2.4,2.64,0.5882352941176471,12,aodv
12,9,20,3,17,30,7,0.15,0.3333333333333333,1.0,4.98,0.23333333333333334,17,aodv
12,10,20,7,13,42,20,0.35,4.857142857142857,1.8571428571428572,4.18,0.47619047619047616,14,aodv
12,11,20,6,14,95,28,0.3,12.666666666666666,1.3333333333333333,5.02,0.29473684210526313,18,aodv
12,12,20,1,19,40,3,0.05,23.0,1.0,5.76,0.075,20,aodv
12,13,20,5,15,22,17,0.25,21.6,1.8,5.51,0.7727272727272727,19,aodv
12,14,20,14,6,66,33,0.7,10.5,2.0714285714285716,3.25,0.5,12,aodv
12,15,20,20,0,104,53,1.0,10.55,2.65,2.11,0.5096153846153846,10,aodv
12,16,20,7,13,59,32,0.35,21.142857142857142,2.857142857142857,5.37,0.5423728813559322,19,aodv
12,17,20,6,14,26,12,0.3,7.666666666666667,1.8333333333333333,4.53,0.46153846153846156,16,aodv
12,18,20,9,11,52,23,0.45,12.666666666666666,1.7777777777777777,4.4,0.4423076923076923,15,aodv
12,19,20,9,11,43,26,0.45,13.555555555555555,2.111111111111111,4.48,0.6046511627906976,16,aodv
12,8,20,17,3,64,46,0.85,7.882352941176471,2.5294117647058822,2.24,0.71875,11,slar-geo
12,9,20,5,15,80,31,0.25,3.2,1.0,4.77,0.3875,16,slar-geo
12,10,20,10,10,62,30,0.5,12.7,2.1,4.26,0.4838709677419355,15,slar-geo
12,11,20,7,13,140,39,0.35,15.285714285714286,2.0,5.09,0.2785714285714286,17,slar-geo
12,12,20,4,16,69,26,0.2,21.25,1.75,5.68,0.37681159420289856,19,slar-geo
12,13,20,9,11,82,43,0.45,12.666666666666666,2.0,4.58,0.524390243902439,17,slar-geo
12,14,20,13,7,114,43,0.65,14.384615384615385,2.076923076923077,4.06,0.37719298245614036,16,slar-geo
12,15,20,17,3,98,41,0.85,6.0588235294117645,2.176470588235294,1.94,0.41836734693877553,9,slar-geo
12,16,20,8,12,97,34,0.4,20.625,2.625,5.26,0.35051546391752575,19,slar-geo
12,17,20,7,13,54,30,0.35,2.7142857142857144,1.7142857142857142,4.14,0.5555555555555556,14,slar-geo
12,18,20,8,12,76,23,0.4,10.375,1.875,4.39,0.3026315789473684,16,slar-geo
12,19,20,8,12,61,34,0.4,12.125,1.875,4.64,0.5573770491803278,19,slar-geo
12,8,20,13,7,95,42,0.65,10.923076923076923,2.3076923076923075,3.57,0.4421052631578947,15,slar-default
12,9,20,6,14,81,33,0.3,4.0,1.3333333333333333,4.55,0.4074074074074074,16,slar-default
12,10,20,10,10,62,30,0.5,12.7,2.1,4.26,0.4838709677419355,15,slar-default
12,11,20,11,9,101,46,0.55,16.818181818181817,2.4545454545454546,4.65,0.45544554455445546,17,slar-default
12,12,20,4,16,67,29,0.2,17.25,1.5,5.56,0.43283582089552236,19,slar-default
12,13,20,9,11,79,44,0.45,12.666666666666666,2.0,4.59,0.5569620253164557,17,slar-default
12,14,20,17,3,74,54,0.85,11.882352941176471,2.588235294117647,2.99,0.7297297297297297,13,slar-default
12,15,20,17,3,98,41,0.85,6.0588235294117645,2.176470588235294,1.94,0.41836734693877553,9,slar-default
12,16,20,8,12,97,38,0.4,20.875,2.75,5.31,0.3917525773195876,19,slar-default
12,17,20,7,13,54,30,0.35,2.7142857142857144,1.7142857142857142,4.14,0.5555555555555556,14,slar-default
12,18,20,10,10,61,29,0.5,11.4,1.9,4.14,0.47540983606557374,15,slar-default
12,19,20,11,9,65,42,0.55,16.636363636363637,2.3636363636363638,4.6,0.6461538461538462,17,slar-default
12,8,20,13,7,86,42,0.65,7.615384615384615,2.3846153846153846,3.13,0.4883720930232558,14,slar-tuned
12,9,20,6,14,77,40,0.3,7.833333333333333,2.0,4.81,0.5194805194805194,16,slar-tuned
12,10,20,10,10,62,31,0.5,12.7,2.2,4.26,0.5,15,slar-tuned
12,11,20,14,6,110,54,0.7,19.142857142857142,3.0714285714285716,4.53,0.4909090909090909,17,slar-tuned
12,12,20,3,17,71,26,0.15,15.0,1.3333333333333333,5.6,0.36619718309859156,19,slar-tuned
12,13,20,8,12,87,42,0.4,10.5,2.125,4.57,0.4827586206896552,17,slar-tuned
12,14,20,15,5,110,53,0.75,13.8,2.4,3.69,0.4818181818181818,14,slar-tuned
12,15,20,17,3,98,55,0.85,8.470588235294118,2.8823529411764706,2.37,0.5612244897959183,13,slar-tuned
12,16,20,9,11,81,42,0.45,17.77777777777778,2.888888888888889,4.95,0.5185185185185185,19,slar-tuned
12,17,20,7,13,55,29,0.35,4.0,1.7142857142857142,4.22,0.5272727272727272,14,slar-tuned
12,18,20,10,10,46,25,0.5,10.6,1.9,4.02,0.5434782608695652,14,slar-tuned
12,19,20,11,9,66,43,0.55,16.727272727272727,2.4545454545454546,4.61,0.6515151515151515,17,slar-tuned
16,8,20,10,10,93,33,0.5,8.0,2.2,3.81,0.3548387096774194,14,gpsr
16,9,20,15,5,157,61,0.75,13.533333333333333,2.6666666666666665,3.69,0.3885350318471338,17,gpsr
16,10,20,5,15,67,29,0.25,3.0,1.8,4.7,0.43283582089552236,15,gpsr
16,11,20,18,2,137,57,0.9,12.555555555555555,3.0555555555555554,2.86,0.41605839416058393,15,gpsr
16,12,20,5,15,82,33,0.25,8.0,1.6,5.0,0.4024390243902439,17,gpsr
16,13,20,9,11,122,40,0.45,6.333333333333333,2.111111111111111,3.97,0.32786885245901637,14,gpsr
16,14,20,17,3,116,58,0.85,10.411764705882353,2.9411764705882355,2.72,0.5,9,gpsr
16,15,20,10,10,106,50,0.5,11.2,3.0,4.22,0.4716981132075472,14,gpsr
16,16,20,15,5,116,47,0.75,8.8,2.4,2.88,0.4051724137931034,11,gpsr
16,17,20,14,6,102,41,0.7,12.714285714285714,2.357142857142857,3.6,0.4019607843137255,14,gpsr
16,18,20,13,7,111,42,0.65,13.615384615384615,2.5384615384615383,3.89,0.3783783783783784,15,gpsr
16,19,20,19,1,184,50,0.95,12.31578947368421,2.473684210526316,2.66,0.2717391304347826,13,gpsr
16,8,20,11,9,54,34,0.55,8.909090909090908,2.272727272727273,3.68,0.6296296296296297,14,aodv
16,9,20,11,9,205,127,0.55,16.636363636363637,2.8181818181818183,5.4,0.6195121951219512,18,aodv
16,10,20,5,15,46,22,0.25,6.2,1.8,4.79,0.4782608695652174,16,aodv
16,11,20,14,6,204,56,0.7,19.928571428571427,3.2142857142857144,4.64,0.27450980392156865,16,aodv
16,12,20,5,15,24,14,0.25,21.8,1.6,5.5,0.5833333333333334,20,aodv
16,13,20,15,5,119,73,0.75,14.333333333333334,3.8666666666666667,3.75,0.6134453781512605,14,aodv
16,14,20,14,6,186,57,0.7,11.642857142857142,2.9285714285714284,3.53,0.3064516129032258,12,aodv
16,15,20,4,16,52,28,0.2,10.5,1.75,5.27,0.5384615384615384,17,aodv
16,16,20,12,8,97,42,0.6,11.833333333333334,2.0833333333333335,3.91,0.4329896907216495,12,aodv
16,17,20,18,2,106,51,0.9,8.944444444444445,2.611111111111111,2.23,0.4811320754716981,9,aodv
16,18,20,14,6,80,43,0.7,5.214285714285714,2.142857142857143,2.6,0.5375,10,aodv
16,19,20,15,5,215,43,0.75,19.6,2.2666666666666666,4.48,0.2,19,aodv
16,8,20,10,10,93,33,0.5,8.0,2.2,3.81,0.3548387096774194,14,slar-geo
16,9,20,15,5,157,61,0.75,13.533333333333333,2.6666666666666665,3.69,0.3885350318471338,17,slar-geo
16,10,20,5,15,67,29,0.25,3.0,1.8,4.7,0.43283582089552236,15,slar-geo
16,11,20,18,2,137,57,0.9,12.555555555555555,3.0555555555555554,2.86,0.41605839416058393,15,slar-geo
16,12,20,5,15,82,33,0.25,8.0,1.6,5.0,0.4024390243902439,17,slar-geo
16,13,20,9,11,122,40,0.45,6.333333333333333,2.111111111111111,3.97,0.32786885245901637,14,slar-geo
16,14,20,17,3,116,58,0.85,10.411764705882353,2.9411764705882355,2.72,0.5,9,slar-geo
16,15,20,10,10,106,50,0.5,11.2,3.0,4.22,0.4716981132075472,14,slar-geo
16,16,20,15,5,116,47,0.75,8.8,2.4,2.88,0.4051724137931034,11,slar-geo
16,17,20,14,6,102,41,0.7,12.714285714285714,2.357142857142857,3.6,0.4019607843137255,14,slar-geo
16,18,20,13,7,111,42,0.65,13.615384615384615,2.5384615384615383,3.89,0.3783783783783784,15,slar-geo
16,19,20,19,1,184,50,0.95,12.31578947368421,2.473684210526316,2.66,0.2717391304347826,13,slar-geo
16,8,20,11,9,95,37,0.55,10.272727272727273,2.4545454545454546,3.84,0.3894736842105263,14,slar-default
16,9,20,16,4,159,64,0.8,14.3125,2.875,3.63,0.4025157232704403,17,slar-default
16,10,20,5,15,38,32,0.25,1.4,1.8,4.65,0.8421052631578947,15,slar-default
16,11,20,18,2,99,55,0.9,9.0,2.9444444444444446,2.22,0.5555555555555556,15,slar-default
16,12,20,7,13,104,41,0.35,15.142857142857142,2.4285714285714284,5.07,0.3942307692307692,17,slar-default
16,13,20,11,9,92,47,0.55,8.818181818181818,2.5454545454545454,3.77,0.5108695652173914,12,slar-default
16,14,20,14,6,133,51,0.7,12.571428571428571,3.0714285714285716,3.58,0.38345864661654133,9,slar-default
16,15,20,9,11,138,51,0.45,13.444444444444445,2.7777777777777777,4.66,0.3695652173913043,15,slar-default
16,16,20,15,5,112,52,0.75,7.6,2.7333333333333334,2.7,0.4642857142857143,12,slar-default
16,17,20,15,5,117,45,0.75,14.2,2.2666666666666666,3.69,0.38461538461538464,13,slar-default
16,18,20,11,9,122,41,0.55,12.545454545454545,2.3636363636363638,4.14,0.3360655737704918,15,slar-default
16,19,20,17,3,175,49,0.85,12.235294117647058,2.5294117647058822,3.01,0.28,13,slar-default
16,8,20,12,8,71,43,0.6,11.333333333333334,2.8333333333333335,3.77,0.6056338028169014,15,slar-tuned
16,9,20,18,2,141,66,0.9,15.11111111111111,3.3333333333333335,3.36,0.46808510638297873,14,slar-tuned
16,10,20,8,12,43,41,0.4,6.125,3.125,4.13,0.9534883720930233,13,slar-tuned
16,11,20,20,0,105,61,1.0,10.55,3.05,2.11,0.580952380952381,14,slar-tuned
16,12,20,7,13,71,46,0.35,15.142857142857142,2.7142857142857144,5.1,0.647887323943662,19,slar-tuned
16,13,20,11,9,88,56,0.55,12.727272727272727,3.272727272727273,4.21,0.6363636363636364,15,slar-tuned
16,14,20,16,4,97,62,0.8,8.1875,3.4375,2.54,0.6391752577319587,8,slar-tuned
16,15,20,12,8,95,57,0.6,16.833333333333332,3.1666666666666665,4.53,0.6,15,slar-tuned
16,16,20,16,4,90,56,0.8,7.25,2.8125,2.43,0.6222222222222222,8,slar-tuned
16,17,20,19,1,98,56,0.95,15.0,2.8421052631578947,3.16,0.5714285714285714,12,slar-tuned
16,18,20,12,8,104,50,0.6,13.583333333333334,2.9166666666666665,4.1,0.4807692307692308,16,slar-tuned
16,19,20,20,0,111,54,1.0,9.7,2.7,1.94,0.4864864864864865,14,slar-tuned
20,8,20,20,0,107,47,1.0,8.7,2.35,1.74,0.4392523364485981,10,gpsr
20,9,20,15,5,135,45,0.75,13.466666666666667,2.533333333333333,3.54,0.3333333333333333,14,gpsr
20,10,20,18,2,142,46,0.9,9.11111111111111,2.111111111111111,2.3,0.323943661971831,9,gpsr
20,11,20,17,3,112,46,0.85,6.9411764705882355,2.176470588235294,2.14,0.4107142857142857,11,gpsr
20,12,20,9,11,120,40,0.45,15.444444444444445,1.8888888888888888,4.81,0.3333333333333333,17,gpsr
20,13,20,18,2,100,50,0.9,5.222222222222222,2.611111111111111,1.55,0.5,8,gpsr
20,14,20,18,2,150,54,0.9,14.944444444444445,2.888888888888889,3.29,0.36,16,gpsr
20,15,20,19,1,151,50,0.95,13.210526315789474,2.473684210526316,2.83,0.33112582781456956,15,gpsr
20,16,20,16,4,115,49,0.8,7.8125,2.5,2.5,0.4260869565217391,11,gpsr
20,17,20,16,4,112,49,0.8,11.1875,2.8125,2.99,0.4375,13,gpsr
20,18,20,7,13,96,47,0.35,17.714285714285715,2.4285714285714284,5.31,0.4895833333333333,18,gpsr
20,19,20,17,3,100,49,0.85,10.352941176470589,2.2941176470588234,2.73,0.49,11,gpsr
20,8,20,20,0,118,52,1.0,10.5,2.6,2.1,0.4406779661016949,8,aodv
20,9,20,20,0,144,101,1.0,11.5,5.05,2.3,0.7013888888888888,11,aodv
20,10,20,14,6,75,36,0.7,6.428571428571429,1.9285714285714286,2.73,0.48,9,aodv
20,11,20,11,9,161,39,0.55,17.818181818181817,1.9090909090909092,4.75,0.2422360248447205,18,aodv
20,12,20,12,8,109,57,0.6,8.083333333333334,3.0833333333333335,3.49,0.5229357798165137,13,aodv
20,13,20,17,3,142,68,0.85,8.235294117647058,2.6470588235294117,2.5,0.4788732394366197,10,aodv
20,14,20,12,8,103,42,0.6,11.916666666666666,2.5833333333333335,3.86,0.4077669902912621,15,aodv
20,15,20,20,0,176,61,1.0,17.85,3.05,3.57,0.3465909090909091,17,aodv
20,16,20,18,2,182,63,0.9,13.61111111111111,3.1666666666666665,3.09,0.34615384615384615,15,aodv
20,17,20,16,4,135,65,0.8,8.8125,3.4375,2.67,0.48148148148148145,14,aodv
20,18,20,4,16,65,22,0.2,2.75,2.25,4.88,0.3384615384615385,16,aodv
20,19,20,14,6,138,56,0.7,12.642857142857142,2.857142857142857,3.67,0.4057971014492754,13,aodv
20,8,20,20,0,107,47,1.0,8.7,2.35,1.74,0.4392523364485981,10,slar-geo
20,9,20,15,5,135,45,0.75,13.466666666666667,2.533333333333333,3.54,0.3333333333333333,14,slar-geo
20,10,20,18,2,142,46,0.9,9.11111111111111,2.111111111111111,2.3,0.323943661971831,9,slar-geo
20,11,20,17,3,112,46,0.85,6.9411764705882355,2.176470588235294,2.14,0.4107142857142857,11,slar-geo
